name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Alexandr Romanov,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_alexandr__romanov_476676_rare_thumbnail.png,Rare,UFC,,24.99,34.99,10.0,"(40.02,)",,https://marketplace.draftkings.com/listings/collectibles/a715e48d4426439dbfcb6ef7c450a9c1/editions/22
Alexandr Romanov,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_alexandr__romanov_476676_rare_thumbnail.png,Rare,UFC,,25.0,34.99,9.99,"(39.96,)",,https://marketplace.draftkings.com/listings/collectibles/a715e48d4426439dbfcb6ef7c450a9c1/editions/74
Tua Tagovailoa,https://marketplace.draftkings.com/_assets/collectibles/assets/3742381f-699f-4559-a2d0-a99538772067.png,Core,MIA,QB,7.0,16.99,9.99,"(142.71,)",,https://marketplace.draftkings.com/listings/collectibles/3dc94275ad824ac695830c47d78d94c7/editions/1337
Tai Tuivasa,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_tai__tuivasa_202886_rare_thumbnail.png,Rare,UFC,,24.5,34.0,9.5,"(38.78,)",34.0,https://marketplace.draftkings.com/listings/collectibles/5ae4850c95924ccb8357e19d1ead68de/editions/129
Charles Oliveira,https://marketplace.draftkings.com/_assets/collectibles/assets/c31f31af-4a00-4290-9474-b2842718a961.png,Elite,UFC,,159.98,169.0,9.02,"(5.64,)",,https://marketplace.draftkings.com/listings/collectibles/a3ce2ead39dc425e8e2bb2f96072e3be/editions/33
Amanda Nunes,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_amanda_nunes_74894_rare_thumbnail.png,Rare,UFC,,30.0,39.0,9.0,"(30.0,)",,https://marketplace.draftkings.com/listings/collectibles/0a1f0bbe29e348b796b2e705a2f215f4/editions/176
Colby Covington,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_colby__covington_81455_rare_thumbnail.png,Rare,UFC,,25.0,32.5,7.5,"(30.0,)",,https://marketplace.draftkings.com/listings/collectibles/3eadfba5f26b4df9adfb06cf8158202e/editions/123
Colby Covington,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_colby__covington_81455_rare_thumbnail.png,Rare,UFC,,25.0,32.5,7.5,"(30.0,)",,https://marketplace.draftkings.com/listings/collectibles/3eadfba5f26b4df9adfb06cf8158202e/editions/162
Max Holloway,https://marketplace.draftkings.com/_assets/collectibles/assets/9e931672-8a11-41aa-ad86-749e6eb51d68.png,Rare,UFC,,28.0,35.0,7.0,"(25.0,)",,https://marketplace.draftkings.com/listings/collectibles/6f95a5a4fdf548a29040223eb3a986fb/editions/162
Rose Namajunas,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_rose_namajunas_202566_rare_thumbnail.png,Rare,UFC,,23.0,30.0,7.0,"(30.43,)",,https://marketplace.draftkings.com/listings/collectibles/6f8234683f0348a29e0f49b4df04887e/editions/197
